,City,Title,Company,Location,Job Summary,Salary
5165,New York,"Research Scientist of Special Projects, World Trade Center H...",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","Maintain confidentiality of identifiable data. Supervise at least one City Research Scientist analyzing data, preparing manuscripts and presentations, and...",97866.5
5170,New York,Senior Data Scientist - NLP and Machine Learning,Harnham,"New York, NY",Senior Data Scientist - NLP and Machine Learning. Senior Data Scientist | NLP | Machine Learning | Python | Media....,180000.0
5171,New York,Data Scientist,Enterprise Select,"New York, NY 10005 (Financial District area)","Financial Services data such as transactions, payments, customer data etc. 3yrs+ experience in a data scientist role - working in the field....",185000.0
5184,New York,Senior Modeler,DEPARTMENT OF FINANCE,"Manhattan, NY","Construct mathematical models that predict the market value of properties from real estate data. Decisions processes, econometric methods, data envelopment...",75557.5
5255,New York,"City Research Scientist, Modeling and Water Quality Planning",DEPT OF ENVIRONMENT PROTECTION,"Queens, NY",Data and statistical analysis. Computer programming to analyze data and pre/post process model runs. The research scientist will be responsible for the...,90981.0
5378,New York,Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing","New York, NY","Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership",135000.0
5392,New York,"Research Data Analyst , Bureau of Veterinary and Pest Contro...",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",-Create visualizations and presentations summarizing program data. -Use ArcGIS to display program data and create maps....,62693.0
5418,New York,Senior Project Manager,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","Provide technical assistance on available data sources, data base construction,. Discuss policy, planning, and data reporting issues....",86565.0
5438,New York,RESEARCH SCIENTIST,Atrium Staffing,"Pearl River, NY",Responsibilities of the Research Scientist:. The Research Scientist will interact regularly with other groups/departments....,38400.0
5471,New York,"Program Coordinator, Bureau of Environmental Sciences and En...",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",-Research/analyze data and evaluate quality control procedures. Two years as a City Research Scientist Level I can be substituted for the experience required in...,62693.0
5526,New York,"Evaluation Lead, Bureau of Systems Strengthening and Access",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","This position will be part of a team of data scientists managing and developing tools for enhances measurement and analytics, as well as providing rapid...",97866.5
5544,New York,Sr. Data Engineer / Developer for Machine Learning Tech Comp...,Averity,"New York, NY","Data Engineer, you will be responsible for helping to design, develop and implement a big data platform for our client's healthcare practice....",155000.0
5559,New York,Geospatial Data Scientist,DEPARTMENT OF FINANCE,"Manhattan, NY",The Property Valuation & Mapping Unit is seeking a Geospatial Data Scientist to provide imagery processing specifically related to the exploitation of LiDAR and...,75643.0
5576,New York,Junior Scientist,Fortira,"East Syracuse, NY","Scientist or lab technician with Elisa or Biassay. The successful candidate may also perform other key activities such as data review, ensuring laboratory cGMP...",32000.0
5586,New York,Data Scientist - Neural Networks,Geode Executive Search,"New York, NY",A well-known tech company in New York is looking to hire a Data Scientist into a group of scientists that develop search algorithms for image media....,130000.0
5631,New York,COR11993- Data Analyst 3,Controls & Automation Consultants LLC,"Corning, NY","Development of technical best practices for data mapping, data transformations, data quality, data cleansing, ETL and other data movement related activities....",42400.0
5633,New York,Health Scientist,Centers for Disease Control and Prevention,"New York, NY",Analyze scientific investigation data. The Centers for Disease Control and Prevention (CDC) is the agency Americans trust with their lives....,120186.0
6520,New York,Research Scientist,Stony Brook University,"Stony Brook, NY",Experience with advanced data analysis software. Stony Brook University has a Research Scientist in the department of Neurobiology & Behavior....,67500.0
8255,San Fransisco,Data Scientist,PDDN Inc,"San Mateo, CA","Data Analytics experience do you have:. The team is responsible for characterizing, classifying and predicting the behavior of its customers’ distribution grids...",96000.0
8257,San Fransisco,Data Scientist,Cloud Big Data Technologies,"Redwood, CA","6+ years of experience in Data. Knowledge of various tools used for data analysis like Jupyter, Zeppelin etc. $65/hr....",104800.0
8813,San Fransisco,Sr Associate Research Operations - 3289,Amerit Consulting,"South San Francisco, CA 94080","The successful applicant must be able to independently perform data analysis using FlowJo or FCS Express, Graphpad Prism, Excel, and PowerPoint and be...",54400.0
8898,San Fransisco,Office Manager for Dynamic Environmental Startup,FlowWest,"Oakland, CA","Our diverse team includes engineers, aquatic ecosystem experts, programmers, and data scientists, and we have offices in Oakland and Sacramento....",44000.0
9041,San Fransisco,Organ Transplant Oversight Coordinator (PC),DONOR NETWORK WEST,"San Ramon, CA",Ability to manage high call volume and organize data in an efficient manner. You will work collaboratively with a range of high level external professionals...,47200.0
9066,San Fransisco,Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing","San Francisco, CA","Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership",135000.0
9114,San Fransisco,Data Scientist,Intellipro Group Inc.,"San Francisco, CA",Work with data engineers and other stakeholders in data products pipeline to enable automation of the data-driven products....,300000.0
9244,San Fransisco,Quantitative Analyst,Optimal Asset Management Inc,"San Francisco Bay Area, CA","Assists in the development of data infrastructure for investment management including market, portfolio and analytics data....",92500.0
9428,San Fransisco,Associate Scientist – Genome Analysis Unit - 3213,Amerit Consulting,"San Francisco, CA","Associate Scientist – Genome Analysis Unit - 3213*. Our client, is an American multinational biopharmaceutical company, seeks an accomplished “ *Associate...",48000.0
9486,San Fransisco,Data Scientist,consol partners,"San Francisco Bay Area, CA","Data Science / Machine Learing:. Machine learning, data analytics, information retrieval. My client is a stealth mode start up with $1.5 million of investment...",177500.0
9534,San Fransisco,Process Technician,C3 Nano,"Hayward, CA 94545 (Glen Eden area)","Scientists or Engineers. Able to record data, label samples and record observations meticulously and clearly....",32800.0
9652,San Fransisco,"Bench Scientist I (T-Cell, CART, Single Cell Sequencing)",Aequor Technologies,"South San Francisco, CA 94080","Job Title:  Bench Scientist I Location:  San Francisco, CA 94080 Duration:  18+ Months Contract Job ID:  7905-1 Employment Type:  W2 only *Max",60800.0
9654,San Fransisco,Sales Engineer,Pentaho a Hitachi Company,"San Francisco, CA","ETL, data warehousing and data engineering. Collaborate with big data experts, data scientists, consultants in Pentaho and Hitachi to deliver advanced custom...",195000.0
9698,San Fransisco,"Sr. Product Manager, Personalization","Blu Chips, Inc","San Francisco, CA 94132 (Lakeshore area)","You will work with Data Scientists and Engineers to define and prioritize data assets, use data to identify new opportunities and customer needs, drive product...",180000.0
12380,Chicago,Data Scientist,Creospan Solutions,"Northbrook, IL","This data scientist candidate will provide data analytics and modeling support to the Marketing area, working within a team of 3-4 other data scientists....",144000.0
12430,Chicago,Data Scientist,Workbridge Associates,"Chicago, IL",A major healthcare corporation that is building out a new data analytics team in Chicago is on the hunt for a Data Scientist for a 6 month contract to hire...,104000.0
12557,Chicago,Data Scientist – Marketing Analytics,Enterprise Select,"Chicago, IL 60601 (Loop area)",We are currently looking for an experienced Data Scientist to join their Digital Analytics team. Leverage in-house data to build predictive models on computing...,125000.0
12649,Chicago,Part-time scientist for APS beamline data collection for pro...,Bioron Inc.,"Lemont, IL",Is a contract research organization providing services to both pharmaceutical scientists and academic researchers....,72000.0
12716,Chicago,Research Analyst,Illinois Criminal Justice Information Authority,"Chicago, IL",Produce analyses of crime trends and provide data management support for the Center’s data archive function;...,57500.0
12730,Chicago,"Data Scientist (Python, R, AWS, Azure)",Workbridge Associates,"Chicago, IL",Our startup client working on risk and fraud detection machine learning software in River North is seeking a junior level Data Scientist to join their growing...,105000.0
12776,Chicago,MEDICAL TECHNOLOGIST II – MICROBIOLOGY- JOHN H. STROGER HOSP...,Cook County Health & Hospitals System,"Chicago, IL","Medical Technologist (MT), Clinical Laboratory Scientists (CLS) or other national certification. Ability to assume primary responsibility for the maintenance,...",38400.0
12812,Chicago,MEDICAL TECHNOLOGIST II – CHEMISTRY- JOHN H. STROGER HOSPITA...,Cook County Health & Hospitals System,"Chicago, IL","Medical Technologist (MT), Clinical Laboratory Scientists (CLS) or other national certification. Ability to assume primary responsibility for the maintenance,...",38400.0
12833,Chicago,Data Scientist,Smith Hanley Associates,"Chicago, IL","Requirements of the Data Scientist:. Prominent Chicago area company is hiring Data Scientists:. Responsibilities include data sourcing, hypothesis generation,...",105000.0
12848,Chicago,Lead Data Scientist,Workbridge Associates,"Chicago, IL",A major healthcare corporation located right in the Loop is building out a brand new data analytics team and looking for a Lead Data Scientist to help lead out...,140000.0
12851,Chicago,MEDICAL TECHNOLOGIST III - JOHN H. STROGER HOSPITAL,Cook County Health & Hospitals System,"Chicago, IL","An Accredited Medical Technologist (AMT), Clinical Laboratory Scientist (CLS) or other national certification (....",44800.0
12858,Chicago,"Lead Data Scientist (Tableau, RShiny, D3)",Workbridge Associates,"Chicago, IL",Hiring for a Senior-Lead Data Scientist for a major healthcare corporation that is building out a new data analytics team in Chicago....,130000.0
12864,Chicago,Lead Data Scientist (Deep Learning),Workbridge Associates,"Chicago, IL","Big Data with Hadoop, Hive, Impala. A leading provider of healthcare insurance across the country is growing out their analytics department in their Chicago...",125000.0
12866,Chicago,Data Scientist,Jobspring Partners,"Chicago, IL",A voice recognition company is hiring for a Data Scientist passionate about scripting in Python and using Machine Learning libraries to provide insights....,75000.0
12874,Chicago,"Quantitative Analyst, AVP",Selby Jennings,"Chicago, IL","My client, a tier one investment bank, is looking to add an experienced Quantitative Analyst to their Quantitative Counterparty Risk team. The ideal candidate",95000.0
12894,Chicago,Lead Machine Learning Data Scientist,All-In Analytics,"Chicago, IL",DATA SCIENTIST LEAD-Visualization. Lead Machine Learning Data Scientist. Work with data-sets of varying degrees of size and complexity including both structured...,120000.0
12895,Chicago,Data Scientist Predictive Modeler,S.C. International,"Chicago, IL","Seeking a self-starter with 3+ years of professional experience in statistical modeling, data science, machine learning, data or text mining, and data...",130000.0
12908,Chicago,Data Scientist/Engineer,Jobspring Partners,"Chicago, IL","They would ideally have a STEM/Quantitative degree and have experience with Go, Javascript, Docker, NLP, and Big Data....",75000.0
12918,Chicago,"Associate Director, Statistics",Duo Data Services,"Chicago, IL","Follows best practices for Data Integrity. Serves as a role model, and mentor to statisticians and other scientists....",140000.0
12919,Chicago,Senior Data Engineer,Jobspring Partners,"Chicago, IL",Full stack data scientists looking to grow with a brand new team in a well-developed company keep reading. Experience using Spark for Data processing....,122500.0
12923,Chicago,Lead Data Scientist (Marketing),Jobspring Partners,"Chicago, IL",Are you a seasoned data scientist interested in getting into a startup that’s building out a data product from the ground up? 4+ years data analytics....,145000.0
12927,Chicago,Sr. Machine Learning Developer,All-In Analytics,"Downers Grove, IL",Experience with data extraction and analysis. Analyzes large amounts of data from our infrastructure systems....,75000.0
12938,Chicago,Research Scientist / Sr. Research Scientist,"CPS, Inc.","Chicago, IL","Research Scientist / Sr. The Research Scientist / Sr. \*Confer with company scientists and commercial teams to conduct analyses of research projects, interpret...",110000.0
12953,Chicago,Data Engineer/Scientist,Workbridge Associates,"Chicago, IL","Big Data experience with Hadoop, Spark, Pig. An early stage, funded startup within the fraud analytics and prevention space is looking to build out their...",107500.0
12956,Chicago,Statistical Analyst,S.C. International,"Chicago, IL",Extremely successful consulting practice has an immediate need for a Statistical Analyst. Our client is an industry leader in consulting to the healthcare,80000.0
12963,Chicago,Machine Learning Engineer (Ruby),Jobspring Partners,"Chicago, IL",Experience working with electronic medical record data. This is a hybrid role where you will spend half your time programming with Ruby on our core API platform...,120000.0
12967,Chicago,Senior Data Scientist,Workbridge Associates,"Chicago, IL",You will be building out new predictive models and machine learning algorithms to improve real time customer data results and help make better data driven...,130000.0
12969,Chicago,Software Engineer (Python),Jobspring Partners,"Chicago, IL",Brand new product that is used globally by the top scientists and doctors. This product is making strides in medical genomic research that will organize and...,92500.0
12971,Chicago,Sr. Data Scientist,Request Technology,"Chicago, IL","Data Scientist– C++, Python, Perl R, Matlab. Master’s degree or Ph.D in and 3 years as a Data Scientist with C/C++, Python, Perl, Java, Company uses Python and...",115000.0
12985,Chicago,CRM Consultant/Sr. Statistical Analyst,Smith Hanley Associates,"Chicago, IL","-Interpret data, extract insights and build business solutions. -Ability to manipulate complex data sets and communicate insights and recommendations....",85000.0
12995,Chicago,Civil/ Environmental Engineer,"Andrews Engineering, Inc.","Lombard, IL 60148","Analyzing Data or Information. Collaborate with environmental scientists, planners, hazardous waste technicians, engineers, experts in law or business, or other...",57500.0
12998,Chicago,"Senior Data Engineer (AWS RedShift, MySQL, Python)",Workbridge Associates,"Chicago, IL","Our client's Data Scientists and Engineers are instrumental in managing data, understanding the needs of the business to analyze data and presenting information...",95000.0
12999,Chicago,Data Integration Architect,Request Technology,"Chicago, IL",Strong logical / physical data modeling across many different data management platforms. Data integration issues and integration patterns....,100000.0
13011,Chicago,QC Laboratory Technician,Momentum Scientific,"Wheaton, IL",Data analysis experience. An industry leading personal care company is looking to add a technician level scientist to their growing quality team....,28800.0
16506,Austin,Water Quality Scientist/Water Quality Scientist Assistant,City of Austin,"Austin, TX 78702 (Rosewood area)",Water Quality Scientist:. Water Quality Scientist Assistant. Skill in interpreting and analyzing data. Skill in data analysis and problem solving....,30400.0
16507,Austin,Engineering Scientist - R and D Data Analysis Developer,University of Texas at Austin,"Austin, TX","Experience with database integration, SQL programming, and/or data mining and data exploration tools. Experience working with data analysis and data mining...",102498.0
16508,Austin,Research Engineering/ Scientist Assistant,University of Texas at Austin,"Austin, TX",Obtain phenotypic data from biological specimens. Maintain databases containing biological data and metadata....,31992.0
16511,Austin,Engineering Scientist - R and D Algorithm and System Develop...,"Applied Research Laboratories, The University of T...","Austin, TX 78758 (North Austin area)","Knowledge of digital signal processing, image processing, machine learning, autonomous control or statistical data analysis....",102500.0
16519,Austin,Engineering Scientist - GPS Data Analyst,University of Texas at Austin,"Austin, TX","Significant professional experience in data analysis software development and interpreting, characterizing and reporting data processing results....",102498.0
16524,Austin,Research Engineering/ Scientist Associate I (Exempt),University of Texas at Austin,"Austin, TX","Purpose To conduct scientific research in Dr. Kenneth Johnson's laboratory. Essential Functions Responsible for evaluation, selection, and application of",34992.0
16562,Austin,Engineering Scientist - HF Geo Algortihm Developer,University of Texas at Austin,"Austin, TX","Support field data collection campaigns and subsequent analysis of imperfect time series data, as well as V and V of integrated systems that implement the above...",102498.0
16609,Austin,Engineering Scientist Associate - R and D Cyber Decision Sup...,University of Texas at Austin,"Austin, TX","Familiarity with data analysis, probability and statistics. Assist in research and development for decision support software in cyber security, including data...",71400.0
16639,Austin,Engineering Scientist Associate - GNSS Analyst,University of Texas at Austin,"Austin, TX","Assist with data archive organization and maintenance. Knowledge of GNSS systems, signal structure, and data types....",71400.0
16658,Austin,Senior Research Scientist (Principal Investigator level),Gibson - An Education Consulting & Research Group,"Austin, TX 78746","Provide statistical consulting to clients regarding the appropriate use of existing data. We are a small research team based in Austin, Texas that is made up of...",130000.0
16698,Austin,Director of Data Science (NYC),Averity,"Austin, TX",You will be leading a team of two data scientists (one mid-level data scientist and one junior data scientist)....,180000.0
16705,Austin,Engineering Scientist - Satellite Attitude Determination Spe...,University of Texas at Austin,"Austin, TX","Provide oversight, analysis and guidance to operational processing of on-orbit data. Support the development and integration of algorithm solutions for...",102498.0
16719,Austin,Engineering Scientist Associate - Research Software Engineer...,University of Texas at Austin,"Austin, TX",Two or more years experience with data management and movement; This position joins a growing team of research scientists and developers in the Advanced...,60000.0
16720,Austin,Engineering Scientist Associate - Research Software Engineer...,University of Texas at Austin,"Austin, TX",Two or more years experience with data management and movement. This position joins a growing team of research scientists and developers in the Advanced...,60000.0
16729,Austin,Engineering Scientist - Senior Research Software Engineer Ja...,University of Texas at Austin,"Austin, TX",Experience implementing large data processing solutions; Familiarity with data mining techniques and machine learning algorithms/approaches;...,75000.0
16730,Austin,Research Engineering/ Scientist Associate I (Exempt) - Data...,University of Texas at Austin,"Austin, TX","Software or Data Carpentry concepts; Data frameworks such as Apache Spark, Hadoop, or Kafka; Maintain machine learning and data analysis software applications...",49992.0
